ID,Crash ID,crash_fatal_fl,case_id,Primary address,Secondary address,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost
1360957,20769340,FALSE,251090935,8400 N IH 35,8200 W RUNDBERG LN,8400,IH 35,,75,FALSE,30.35176498,-97.69204156,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.69204156 30.35176498),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 3:00:00 PM,04/19/2025 8:00:00 PM,FALSE,FALSE,0,,20000,40000
1361771,20781771,FALSE,251090877,4000 S MOPAC EXPY SVRD SB,4000 W SOUTHWEST PKWY,4000,S MOPAC EXPY SVRD SB,,45,FALSE,30.23719811,-97.82310547,5,0,0,0,3,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.82310547 30.23719811),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 1:58:00 PM,04/19/2025 6:58:00 PM,FALSE,FALSE,0,,20000,60000
1360951,20769334,FALSE,251090865,11300 PECAN PARK BLVD,11300 STONESTOP BLVD,11300,PECAN PARK,BLVD,35,FALSE,30.47482534,-97.80387508,5,0,0,0,2,0,0,0,Passenger car,POINT (-97.80387508 30.47482534),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 1:47:00 PM,04/19/2025 6:47:00 PM,FALSE,FALSE,0,,20000,40000
1360923,20769169,FALSE,251090801,700 S BLUFF SPRINGS RD RD,2000 E QUICKSILVER BLVD BLVD,700,BLUFF SPRINGS RD,RD,45,FALSE,30.17742133,-97.76981287,0,0,0,0,0,2,0,0,Passenger car,POINT (-97.76981287 30.17742133),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 12:56:00 PM,04/19/2025 5:56:00 PM,FALSE,FALSE,0,,20000,40000
1363746,20810200,FALSE,251090760,500 E E 7TH ST,700 RED RIVER ST,500,E 7TH ST,,35,FALSE,30.26743478,-97.73685246,3,0,0,1,1,0,1,0,Passenger car,POINT (-97.73685246 30.26743478),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 12:19:00 PM,04/19/2025 5:19:00 PM,FALSE,FALSE,0,,200000,220000
1360949,20769332,FALSE,251090633,500 W SLAUGHTER LN,9100 S 1ST ST,500,SLAUGHTER,LN,45,FALSE,30.17166001,-97.79845841,0,0,0,0,1,1,0,0,Large passenger vehicle & Pedestrian,POINT (-97.79845841 30.17166001),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 9:57:00 AM,04/19/2025 2:57:00 PM,FALSE,FALSE,0,,20000,40000
1361068,20769331,FALSE,251090503,14700 N N IH 35 SB HWY,1600 E E WELLS BRANCH PKWY PKWY,14700,N IH 35 SB,HWY,50,TRUE,30.4416375,-97.66832863,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.66832863 30.4416375),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 7:48:00 AM,04/19/2025 12:48:00 PM,FALSE,FALSE,0,,20000,40000
1360920,20769165,FALSE,251090489,12885 POND SPRINGS RD,7900 LOS INDIOS TRL TRL,12885,POND SPRINGS RD,,40,FALSE,30.43687475,-97.77120245,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.77120245 30.43687475),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 7:18:00 AM,04/19/2025 12:18:00 PM,FALSE,FALSE,0,,20000,20000
1361274,20769160,FALSE,251090425,4801 QUICKSILVER BLVD,4800 SAVOREY LN,4801,QUICKSILVER,BLVD,-1,FALSE,30.1734948,-97.75706246,0,0,0,0,0,1,0,0,Passenger car,POINT (-97.75706246 30.1734948),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 5:29:00 AM,04/19/2025 10:29:00 AM,FALSE,FALSE,0,,20000,20000
1361044,20769045,FALSE,251090316,8300 S E ANDERSON LN SVRD EB LN,8300 LAZY LANE LN,8300,E ANDERSON LN SVRD EB,LN,45,FALSE,30.35691566,-97.71562701,0,0,0,0,0,0,0,0,Passenger car,POINT (-97.71562701 30.35691566),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 3:37:00 AM,04/19/2025 8:37:00 AM,FALSE,FALSE,0,,20000,20000
1362358,20793906,FALSE,251090272,12000 N NORTH IH 35 NB HWY,TECH RIDGE BLVD BLVD,12000,NORTH IH 35 NB,HWY,65,TRUE,30.38813387,-97.67243469,5,0,0,0,1,0,0,0,Large passenger vehicle & Motor vehicle – other,POINT (-97.67243469 30.38813387),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 2:59:00 AM,04/19/2025 7:59:00 AM,FALSE,FALSE,0,,20000,20000
1361066,20769328,FALSE,251090251,0 S LITTLE VALLEY CV CV,0 S LITTLE VALLEY CV CV,0,LITTLE VALLEY CV,CV,30,FALSE,,,3,0,0,2,0,0,2,0,Passenger car,,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 2:39:00 AM,04/19/2025 7:39:00 AM,FALSE,FALSE,0,,200000,400000
1360619,20764136,FALSE,2504-0243,100 DEAN KEETON ST,100 W DEEN KEETON ST,100,DEAN KEETON,ST,35,FALSE,30.28958477,-97.73796246,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.73796246 30.28958477),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 2:06:00 AM,04/19/2025 7:06:00 AM,FALSE,FALSE,0,,20000,40000
1362027,20787401,FALSE,251090049,700 E E RUNDBERG LN LN,9600 N N IH 35 NB AT E RUNDBERG TRN HWY,700,E RUNDBERG LN,LN,45,TRUE,30.35788866,-97.68733521,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.68733521 30.35788866),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 1:10:00 AM,04/19/2025 6:10:00 AM,FALSE,FALSE,0,,20000,40000
1360947,20769327,FALSE,251090038,500 W 38TH ST,3800 GUADALUPE ST,500,W 38TH ST,,30,FALSE,30.30270034,-97.73806702,5,0,0,0,3,0,0,0,Passenger car,POINT (-97.73806702 30.30270034),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 12:22:00 AM,04/19/2025 5:22:00 AM,FALSE,FALSE,0,,20000,60000
1361067,20769329,FALSE,251081734,12300 N IH 35 SB,TECH RIDGE,12300,N IH 35 SB,,60,TRUE,30.40144467,-97.67461493,0,0,0,0,1,1,0,0,Large passenger vehicle & Passenger car,POINT (-97.67461493 30.40144467),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/18/2025 11:40:00 PM,04/19/2025 4:40:00 AM,FALSE,FALSE,0,,20000,40000
1360895,20769028,FALSE,251081697,14000 N IH 35 SB,W HOWARD LN,14000,IH 35 SB,,60,TRUE,30.42570819,-97.6713754,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.6713754 30.42570819),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/18/2025 11:17:00 PM,04/19/2025 4:17:00 AM,FALSE,FALSE,0,,20000,40000
1360896,20769029,FALSE,251081657,6000 PARMER LN,6000 MCNEIL,6000,PARMER,LN,60,FALSE,30.44396711,-97.74228734,2,0,1,0,5,0,1,0,Passenger car,POINT (-97.74228734 30.44396711),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/18/2025 10:45:00 PM,04/19/2025 3:45:00 AM,FALSE,FALSE,0,,250000,350000
1361435,20778985,FALSE,251081578,LITTLE TEXAS LN,MIRA DR,,LITTLE TEXAS LN,,30,FALSE,30.19864139,-97.768629,3,0,0,1,1,0,1,0,Bicycle & Large passenger vehicle,POINT (-97.768629 30.19864139),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/18/2025 10:03:00 PM,04/19/2025 3:03:00 AM,FALSE,FALSE,0,,200000,220000
1360978,20769511,FALSE,251081536,5100 PURPLE SAGE DR DR,7000 ED BLUESTEIN BLVD NB BLVD,5100,PURPLE SAGE DR,DR,30,FALSE,30.31192548,-97.65989608,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.65989608 30.31192548),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/18/2025 9:33:00 PM,04/19/2025 2:33:00 AM,FALSE,FALSE,0,,20000,20000
1360936,20769261,FALSE,251081497,1900 S N IH 35 SB TO 234 HWY,1500 E E 15TH ST ST,1900,N IH 35 SB TO 234,HWY,65,FALSE,30.27416621,-97.7316732,3,0,0,1,2,0,1,0,Large passenger vehicle & Motorcycle,POINT (-97.7316732 30.27416621),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/18/2025 9:05:00 PM,04/19/2025 2:05:00 AM,FALSE,FALSE,0,,200000,240000
